payment_start,payment_end,standard_payment
0,63000,58000
63000,73000,68000
73000,83000,78000
83000,93000,88000
93000,101000,98000
101000,107000,104000
107000,114000,110000
114000,122000,118000
122000,130000,126000
130000,138000,134000
138000,146000,142000
146000,155000,150000
155000,165000,160000
165000,175000,170000
175000,185000,180000
185000,195000,190000
195000,210000,200000
210000,230000,220000
230000,250000,240000
250000,270000,260000
270000,290000,280000
290000,310000,300000
310000,330000,320000
330000,350000,340000
350000,370000,360000
370000,395000,380000
395000,425000,410000
425000,455000,440000
455000,485000,470000
485000,515000,500000
515000,545000,530000
545000,575000,560000
575000,605000,590000
605000,635000,620000
635000,665000,650000
665000,695000,680000
695000,730000,710000
730000,770000,750000
770000,810000,790000
810000,855000,830000
855000,905000,880000
905000,955000,930000
955000,1005000,980000
1005000,1055000,1030000
1055000,1115000,1090000
1115000,1175000,1150000
1175000,1235000,1210000
1235000,1295000,1270000
1295000,1355000,1330000
1355000,11111000,1390000
