tax_level,income_start,income_end,tax_0,tax_1,tax_2,tax_3,tax_4,tax_5,tax_6,tax_7,tax_otu
0,0,88000,0,0,0,0,0,0,0,0,0
1,88000,89000,130,0,0,0,0,0,0,0,3200
2,89000,90000,180,0,0,0,0,0,0,0,3200
3,90000,91000,230,0,0,0,0,0,0,0,3200
4,91000,92000,290,0,0,0,0,0,0,0,3200
5,92000,93000,340,0,0,0,0,0,0,0,3300
6,93000,94000,390,0,0,0,0,0,0,0,3300
7,94000,95000,440,0,0,0,0,0,0,0,3300
8,95000,96000,490,0,0,0,0,0,0,0,3400
9,96000,97000,540,0,0,0,0,0,0,0,3400
10,97000,98000,590,0,0,0,0,0,0,0,3500
11,98000,99000,640,0,0,0,0,0,0,0,3500
12,99000,101000,720,0,0,0,0,0,0,0,3600
13,101000,103000,830,0,0,0,0,0,0,0,3600
14,103000,105000,930,0,0,0,0,0,0,0,3700
15,105000,107000,1030,0,0,0,0,0,0,0,3800
16,107000,109000,1130,0,0,0,0,0,0,0,3800
17,109000,111000,1240,0,0,0,0,0,0,0,3900
18,111000,113000,1340,0,0,0,0,0,0,0,4000
19,113000,115000,1440,0,0,0,0,0,0,0,4100
20,115000,117000,1540,0,0,0,0,0,0,0,4100
21,117000,119000,1640,0,0,0,0,0,0,0,4200
22,119000,121000,1750,120,0,0,0,0,0,0,4300
23,121000,123000,1850,220,0,0,0,0,0,0,4500
24,123000,125000,1950,330,0,0,0,0,0,0,4800
25,125000,127000,2050,430,0,0,0,0,0,0,5100
26,127000,129000,2150,530,0,0,0,0,0,0,5400
27,129000,131000,2260,630,0,0,0,0,0,0,5700
28,131000,133000,2360,740,0,0,0,0,0,0,6000
29,133000,135000,2460,840,0,0,0,0,0,0,6300
30,135000,137000,2550,930,0,0,0,0,0,0,6600
31,137000,139000,2610,990,0,0,0,0,0,0,6800
32,139000,141000,2680,1050,0,0,0,0,0,0,7100
33,141000,143000,2740,1110,0,0,0,0,0,0,7500
34,143000,145000,2800,1170,0,0,0,0,0,0,7800
35,145000,147000,2860,1240,0,0,0,0,0,0,8100
36,147000,149000,2920,1300,0,0,0,0,0,0,8400
37,149000,151000,2980,1360,0,0,0,0,0,0,8700
38,151000,153000,3050,1430,0,0,0,0,0,0,9000
39,153000,155000,3120,1500,0,0,0,0,0,0,9300
40,155000,157000,3200,1570,0,0,0,0,0,0,9600
41,157000,159000,3270,1640,0,0,0,0,0,0,9900
42,159000,161000,3340,1720,100,0,0,0,0,0,10200
43,161000,163000,3410,1790,170,0,0,0,0,0,10500
44,163000,165000,3480,1860,250,0,0,0,0,0,10800
45,165000,167000,3550,1930,320,0,0,0,0,0,11100
46,167000,169000,3620,2000,390,0,0,0,0,0,11400
47,169000,171000,3700,2070,460,0,0,0,0,0,11700
48,171000,173000,3770,2140,530,0,0,0,0,0,12000
49,173000,175000,3840,2220,600,0,0,0,0,0,12400
50,175000,177000,3910,2290,670,0,0,0,0,0,12700
51,177000,179000,3980,2360,750,0,0,0,0,0,13200
52,179000,181000,4050,2430,820,0,0,0,0,0,13900
53,181000,183000,4120,2500,890,0,0,0,0,0,14600
54,183000,185000,4200,2570,960,0,0,0,0,0,15300
55,185000,187000,4270,2640,1030,0,0,0,0,0,16000
56,187000,189000,4340,2720,1100,0,0,0,0,0,16700
57,189000,191000,4410,2790,1170,0,0,0,0,0,17500
58,191000,193000,4480,2860,1250,0,0,0,0,0,18100
59,193000,195000,4550,2930,1320,0,0,0,0,0,18800
60,195000,197000,4630,3000,1390,0,0,0,0,0,19500
61,197000,199000,4700,3070,1460,0,0,0,0,0,20200
62,199000,201000,4770,3140,1530,0,0,0,0,0,20900
63,201000,203000,4840,3220,1600,0,0,0,0,0,21500
64,203000,205000,4910,3290,1670,0,0,0,0,0,22200
65,205000,207000,4980,3360,1750,130,0,0,0,0,22700
66,207000,209000,5050,3430,1820,200,0,0,0,0,23300
67,209000,211000,5130,3500,1890,280,0,0,0,0,23900
68,211000,213000,5200,3570,1960,350,0,0,0,0,24400
69,213000,215000,5270,3640,2030,420,0,0,0,0,25000
70,215000,217000,5340,3720,2100,490,0,0,0,0,25500
71,217000,219000,5410,3790,2170,560,0,0,0,0,26100
72,219000,221000,5480,3860,2250,630,0,0,0,0,26800
73,221000,224000,5560,3950,2340,710,0,0,0,0,27400
74,224000,227000,5680,4060,2440,830,0,0,0,0,28400
75,227000,230000,5780,4170,2550,930,0,0,0,0,29300
76,230000,233000,5890,4280,2650,1040,0,0,0,0,30300
77,233000,236000,5990,4380,2770,1140,0,0,0,0,31300
78,236000,239000,6110,4490,2870,1260,0,0,0,0,32400
79,239000,242000,6210,4590,2980,1360,0,0,0,0,33400
80,242000,245000,6320,4710,3080,1470,0,0,0,0,34400
81,245000,248000,6420,4810,3200,1570,0,0,0,0,35400
82,248000,251000,6530,4920,3300,1680,0,0,0,0,36400
83,251000,254000,6640,5020,3410,1790,170,0,0,0,37500
84,254000,257000,6750,5140,3510,1900,290,0,0,0,38500
85,257000,260000,6850,5240,3620,2000,390,0,0,0,39400
86,260000,263000,6960,5350,3730,2110,500,0,0,0,40400
87,263000,266000,7070,5450,3840,2220,600,0,0,0,41500
88,266000,269000,7180,5560,3940,2330,710,0,0,0,42500
89,269000,272000,7280,5670,4050,2430,820,0,0,0,43500
90,272000,275000,7390,5780,4160,2540,930,0,0,0,44500
91,275000,278000,7490,5880,4270,2640,1030,0,0,0,45500
92,278000,281000,7610,5990,4370,2760,1140,0,0,0,46600
93,281000,284000,7710,6100,4480,2860,1250,0,0,0,47600
94,284000,287000,7820,6210,4580,2970,1360,0,0,0,48600
95,287000,290000,7920,6310,4700,3070,1460,0,0,0,49500
96,290000,293000,8040,6420,4800,3190,1570,0,0,0,50500
97,293000,296000,8140,6520,4910,3290,1670,0,0,0,51600
98,296000,299000,8250,6640,5010,3400,1790,160,0,0,52300
99,299000,302000,8420,6740,5130,3510,1890,280,0,0,52900
100,302000,305000,8670,6860,5250,3630,2010,400,0,0,53500
101,305000,308000,8910,6980,5370,3760,2130,520,0,0,54200
102,308000,311000,9160,7110,5490,3880,2260,640,0,0,54800
103,311000,314000,9400,7230,5620,4000,2380,770,0,0,55400
104,314000,317000,9650,7350,5740,4120,2500,890,0,0,56100
105,317000,320000,9890,7470,5860,4250,2620,1010,0,0,56800
106,320000,323000,10140,7600,5980,4370,2750,1130,0,0,57700
107,323000,326000,10380,7720,6110,4490,2870,1260,0,0,58500
108,326000,329000,10630,7840,6230,4610,2990,1380,0,0,59300
109,329000,332000,10870,7960,6350,4740,3110,1500,0,0,60200
110,332000,335000,11120,8090,6470,4860,3240,1620,0,0,61100
111,335000,338000,11360,8210,6600,4980,3360,1750,130,0,62000
112,338000,341000,11610,8370,6720,5110,3480,1870,260,0,63000
113,341000,344000,11850,8620,6840,5230,3600,1990,380,0,64000
114,344000,347000,12100,8860,6960,5350,3730,2110,500,0,65000
115,347000,350000,12340,9110,7090,5470,3850,2240,620,0,66200
116,350000,353000,12590,9350,7210,5600,3970,2360,750,0,67200
117,353000,356000,12830,9600,7330,5720,4090,2480,870,0,68200
118,356000,359000,13080,9840,7450,5840,4220,2600,990,0,69200
119,359000,362000,13320,10090,7580,5960,4340,2730,1110,0,70200
120,362000,365000,13570,10330,7700,6090,4460,2850,1240,0,71300
121,365000,368000,13810,10580,7820,6210,4580,2970,1360,0,72300
122,368000,371000,14060,10820,7940,6330,4710,3090,1480,0,73200
123,371000,374000,14300,11070,8070,6450,4830,3220,1600,0,74200
124,374000,377000,14550,11310,8190,6580,4950,3340,1730,100,75100
125,377000,380000,14790,11560,8320,6700,5070,3460,1850,220,76100
126,380000,383000,15040,11800,8570,6820,5200,3580,1970,350,77000
127,383000,386000,15280,12050,8810,6940,5320,3710,2090,470,77900
128,386000,389000,15530,12290,9060,7070,5440,3830,2220,590,78800
129,389000,392000,15770,12540,9300,7190,5560,3950,2340,710,80600
130,392000,395000,16020,12780,9550,7310,5690,4070,2460,840,82300
131,395000,398000,16260,13030,9790,7430,5810,4200,2580,960,83900
132,398000,401000,16510,13270,10040,7560,5930,4320,2710,1080,85700
133,401000,404000,16750,13520,10280,7680,6050,4440,2830,1200,87400
134,404000,407000,17000,13760,10530,7800,6180,4560,2950,1330,89000
135,407000,410000,17240,14010,10770,7920,6300,4690,3070,1450,90800
136,410000,413000,17490,14250,11020,8050,6420,4810,3200,1570,92500
137,413000,416000,17730,14500,11260,8170,6540,4930,3320,1690,94100
138,416000,419000,17980,14740,11510,8290,6670,5050,3440,1820,95900
139,419000,422000,18220,14990,11750,8530,6790,5180,3560,1940,97600
140,422000,425000,18470,15230,12000,8770,6910,5300,3690,2060,99200
141,425000,428000,18710,15480,12240,9020,7030,5420,3810,2180,101000
142,428000,431000,18960,15720,12490,9260,7160,5540,3930,2310,102600
143,431000,434000,19210,15970,12730,9510,7280,5670,4050,2430,104300
144,434000,437000,19450,16210,12980,9750,7400,5790,4180,2550,106100
145,437000,440000,19700,16460,13220,10000,7520,5910,4300,2680,107700
146,440000,443000,20090,16700,13470,10240,7650,6030,4420,2800,109500
147,443000,446000,20580,16950,13710,10490,7770,6160,4540,2920,111200
148,446000,449000,21070,17190,13960,10730,7890,6280,4670,3040,112800
149,449000,452000,21560,17440,14200,10980,8010,6400,4790,3170,114600
150,452000,455000,22050,17680,14450,11220,8140,6520,4910,3290,116300
151,455000,458000,22540,17930,14690,11470,8260,6650,5030,3410,117900
152,458000,461000,23030,18170,14940,11710,8470,6770,5160,3530,119700
153,461000,464000,23520,18420,15180,11960,8720,6890,5280,3660,121400
154,464000,467000,24010,18660,15430,12200,8960,7010,5400,3780,123000
155,467000,470000,24500,18910,15670,12450,9210,7140,5520,3900,124800
156,470000,473000,24990,19150,15920,12690,9450,7260,5650,4020,126500
157,473000,476000,25480,19400,16160,12940,9700,7380,5770,4150,128100
158,476000,479000,25970,19640,16410,13180,9940,7500,5890,4270,129900
159,479000,482000,26460,20000,16650,13430,10190,7630,6010,4390,131600
160,482000,485000,26950,20490,16900,13670,10430,7750,6140,4510,133200
161,485000,488000,27440,20980,17140,13920,10680,7870,6260,4640,135000
162,488000,491000,27930,21470,17390,14160,10920,7990,6380,4760,136600
163,491000,494000,28420,21960,17630,14410,11170,8120,6500,4880,138300
164,494000,497000,28910,22450,17880,14650,11410,8240,6630,5000,140100
165,497000,500000,29400,22940,18120,14900,11660,8420,6750,5130,141700
166,500000,503000,29890,23430,18370,15140,11900,8670,6870,5250,143500
167,503000,506000,30380,23920,18610,15390,12150,8910,6990,5370,145200
168,506000,509000,30880,24410,18860,15630,12390,9160,7120,5490,146800
169,509000,512000,31370,24900,19100,15880,12640,9400,7240,5620,148600
170,512000,515000,31860,25390,19350,16120,12890,9650,7360,5740,150300
171,515000,518000,32350,25880,19590,16370,13130,9890,7480,5860,151900
172,518000,521000,32840,26370,19900,16610,13380,10140,7610,5980,153700
173,521000,524000,33330,26860,20390,16860,13620,10380,7730,6110,155400
174,524000,527000,33820,27350,20880,17100,13870,10630,7850,6230,157000
175,527000,530000,34310,27840,21370,17350,14110,10870,7970,6350,158800
176,530000,533000,34800,28330,21860,17590,14360,11120,8100,6470,160300
177,533000,536000,35290,28820,22350,17840,14600,11360,8220,6600,161900
178,536000,539000,35780,29310,22840,18080,14850,11610,8380,6720,163500
179,539000,542000,36270,29800,23330,18330,15090,11850,8630,6840,165000
180,542000,545000,36760,30290,23820,18570,15340,12100,8870,6960,166600
181,545000,548000,37250,30780,24310,18820,15580,12340,9120,7090,168200
182,548000,551000,37740,31270,24800,19060,15830,12590,9360,7210,169800
183,551000,554000,38280,31810,25340,19330,16100,12860,9630,7350,171300
184,554000,557000,38830,32370,25890,19600,16380,13140,9900,7480,173000
185,557000,560000,39380,32920,26440,19980,16650,13420,10180,7630,174500
186,560000,563000,39930,33470,27000,20530,16930,13690,10460,7760,175900
187,563000,566000,40480,34020,27550,21080,17200,13970,10730,7900,177300
188,566000,569000,41030,34570,28100,21630,17480,14240,11010,8040,178900
